Symbol,CompanyName,ISIN, Sector
BEPL,Bhansali Engineering Polymers Limited,INE922A01025,EQ
BERGEPAINT,Berger Paints (I) Limited,INE463A01038,EQ
BESTAGRO,Best Agrolife Limited,INE052T01013,EQ
BFINVEST,BF Investment Limited,INE878K01010,EQ
BFUTILITIE,BF Utilities Limited,INE243D01012,EQ
BGLOBAL,Bharatiya Global Infomedia Limited,INE224M01013,BZ
BGRENERGY,BGR Energy Systems Limited,INE661I01014,BE
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,INE414D01027,EQ
BHAGERIA,Bhageria Industries Limited,INE354C01027,EQ
BHAGYANGR,Bhagyanagar India Limited,INE458B01036,EQ
BHANDARI,Bhandari Hosiery Exports Limited,INE474E01029,EQ
BHARATFORG,Bharat Forge Limited,INE465A01025,EQ
BHARATGEAR,Bharat Gears Limited,INE561C01019,EQ
BHARATRAS,Bharat Rasayan Limited,INE838B01013,EQ
BHARATSE,Bharat Seats Limited,INE415D01024,BE
BHARATWIRE,Bharat Wire Ropes Limited,INE316L01019,EQ
BHARTIARTL,Bharti Airtel Limited,INE397D01024,EQ
BHARTIHEXA,Bharti Hexacom Limited,INE343G01021,EQ
BHEL,Bharat Heavy Electricals Limited,INE257A01026,EQ
BIGBLOC,Bigbloc Construction Limited,INE412U01025,EQ
BIKAJI,Bikaji Foods International Limited,INE00E101023,EQ
BIL,Bhartiya International Limited,INE828A01016,EQ
BINANIIND,Binani Industries Limited,INE071A01013,BE
BIOCON,Biocon Limited,INE376G01013,EQ
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,INE829A01014,BE
BIRLACABLE,Birla Cable Limited,INE800A01015,BE
BIRLACORPN,Birla Corporation Limited,INE340A01012,EQ
BIRLAMONEY,Aditya Birla Money Limited,INE865C01022,EQ
BIRLANU,BirlaNu Limited,INE557A01011,EQ
BLACKBUCK,Zinka Logistics Solutions Limited,INE0UIZ01018,EQ
BLAL,BEML Land Assets Limited,INE0N7W01012,EQ
BLBLIMITED,BLB Limited,INE791A01024,EQ
BLISSGVS,Bliss GVS Pharma Limited,INE416D01022,EQ
BLKASHYAP,B. L. Kashyap and Sons Limited,INE350H01032,EQ
BLS,BLS International Services Limited,INE153T01027,EQ
BLSE,BLS E-Services Limited,INE0NLT01010,BE
BLUECHIP,Blue Chip India Limited,INE657B01025,BE
BLUECOAST,Blue Coast Hotels Limited,INE472B01011,BE
BLUEDART,Blue Dart Express Limited,INE233B01017,EQ
BLUEJET,Blue Jet Healthcare Limited,INE0KBH01020,EQ
BLUESTARCO,Blue Star Limited,INE472A01039,EQ
BLUSPRING,Bluspring Enterprises Limited,INE0U4101014,BE
BODALCHEM,Bodal Chemicals Limited,INE338D01028,EQ
BOHRAIND,Bohra Industries Limited,INE802W01023,BE
BOMDYEING,Bombay Dyeing & Mfg Company Limited,INE032A01023,EQ
BORANA,Borana Weaves Limited,INE16SF01016,EQ
BOROLTD,Borosil Limited,INE02PY01013,EQ
BORORENEW,BOROSIL RENEWABLES LIMITED,INE666D01022,EQ
BOROSCI,Borosil Scientific Limited,INE02L001032,EQ
BOSCHLTD,Bosch Limited,INE323A01026,EQ
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,EQ
BPL,BPL Limited,INE110A01019,EQ
BRIGADE,Brigade Enterprises Limited,INE791I01019,EQ
BRITANNIA,Britannia Industries Limited,INE216A01030,EQ
BRNL,Bharat Road Network Limited,INE727S01012,BE
BROOKS,Brooks Laboratories Limited,INE650L01011,BE
BSE,BSE Limited,INE118H01025,EQ
BSHSL,Bombay Super Hybrid Seeds Limited,INE032Z01020,EQ
BSL,BSL Limited,INE594B01012,BE
BSOFT,BIRLASOFT LIMITED,INE836A01035,EQ
BTML,Bodhi Tree Multimedia Limited,INE0EEJ01023,EQ
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,INE295F01017,EQ
BVCL,Barak Valley Cements Limited,INE139I01011,EQ
BYKE,The Byke Hospitality Ltd,INE319B01014,BE
CALSOFT,California Software Company Limited,INE526B01014,EQ
CAMLINFINE,Camlin Fine Sciences Limited,INE052I01032,BE
CAMPUS,Campus Activewear Limited,INE278Y01022,EQ
CAMS,Computer Age Management Services Limited,INE596I01012,EQ
CANBK,Canara Bank,INE476A01022,EQ
CANFINHOME,Can Fin Homes Limited,INE477A01020,EQ
CANTABIL,Cantabil Retail India Limited,INE068L01024,EQ
CAPACITE,Capacit'e Infraprojects Limited,INE264T01014,EQ
CAPITALSFB,Capital Small Finance Bank Limited,INE646H01017,EQ
CAPLIPOINT,Caplin Point Laboratories Limited,INE475E01026,EQ
CAPTRUST,Capital Trust Limited,INE707C01018,BE
CARBORUNIV,Carborundum Universal Limited,INE120A01034,EQ
CARERATING,CARE Ratings Limited,INE752H01013,EQ
CARRARO,Carraro India Limited,INE0V7W01012,EQ
CARTRADE,Cartrade Tech Limited,INE290S01011,EQ
CARYSIL,CARYSIL LIMITED,INE482D01024,EQ
CASTROLIND,Castrol India Limited,INE172A01027,EQ
CCCL,Consolidated Construction Consortium Limited,INE429I01024,EQ
CCHHL,Country Club Hospitality & Holidays Limited,INE652F01027,EQ
CCL,CCL Products (India) Limited,INE421D01022,EQ
CDSL,Central Depository Services (India) Limited,INE736A01011,EQ
CEATLTD,CEAT Limited,INE482A01020,EQ
CEIGALL,Ceigall India Limited,INE0AG901020,EQ
CELEBRITY,Celebrity Fashions Limited,INE185H01016,EQ
CELLO,Cello World Limited,INE0LMW01024,EQ
CENTENKA,Century Enka Limited,INE485A01015,EQ
CENTEXT,Century Extrusions Limited,INE281A01026,EQ
CENTRALBK,Central Bank of India,INE483A01010,EQ
CENTRUM,Centrum Capital Limited,INE660C01027,BE
CENTUM,Centum Electronics Limited,INE320B01020,EQ
CENTURYPLY,Century Plyboards (India) Limited,INE348B01021,EQ
CERA,Cera Sanitaryware Limited,INE739E01017,EQ
CEREBRAINT,Cerebra Integrated Technologies Limited,INE345B01019,BZ
CESC,CESC Limited,INE486A01021,EQ
CEWATER,Concord Enviro Systems Limited,INE037Z01029,EQ
CGCL,Capri Global Capital Limited,INE180C01042,EQ
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,EQ
CHALET,Chalet Hotels Limited,INE427F01016,EQ
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,INE085A01013,EQ
CHEMBOND,Chembond Material Technologies Limited,INE995D01025,BE
CHEMCON,Chemcon Speciality Chemicals Limited,INE03YM01018,EQ
CHEMFAB,Chemfab Alkalis Limited,INE783X01023,EQ
CHEMPLASTS,Chemplast Sanmar Limited,INE488A01050,EQ
CHENNPETRO,Chennai Petroleum Corporation Limited,INE178A01016,EQ
CHEVIOT,Cheviot Company Limited,INE974B01016,EQ
CHOICEIN,Choice International Limited,INE102B01014,EQ
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,EQ
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,INE149A01033,EQ
CIEINDIA,CIE Automotive India Limited,INE536H01010,EQ
CIFL,Capital India Finance Limited,INE345H01024,EQ
CIGNITITEC,Cigniti Technologies Limited,INE675C01017,EQ
